,Unnamed: 0,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
270804,270805,CERTIFIED,INFOAXE INC.,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,73424.0,2016.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
392834,392835,CERTIFIED,INFOAXE INC.,"SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE ENGINEER,Y,124675.0,2016.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
1082201,1082202,CERTIFIED,INFOAXE INC.,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,75546.0,2015.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
1175232,1175233,CERTIFIED,INFOAXE INC.,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,73424.0,2015.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
1347601,1347602,CERTIFIED,INFOAXE INC.,Computer Programmers,COMPUTER PROGRAMMER,Y,61589.0,2014.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
1722548,1722549,CERTIFIED,INFOAXE INC.,Computer Programmers,COMPUTER PROGRAMMER,Y,57179.0,2014.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
1904653,1904654,CERTIFIED,INFOAXE INC.,Computer Programmers,COMPUTER PROGRAMMER,Y,61984.0,2013.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
2206250,2206251,CERTIFIED,INFOAXE INC.,Computer and Information Systems Managers,DIRECTOR OF ENGINEERING,Y,149885.0,2013.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
2213849,2213850,CERTIFIED,INFOAXE INC.,"Software Developers, Applications",SOFTWARE ENGINEER,Y,98675.0,2013.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
2256471,2256472,CERTIFIED,INFOAXE INC.,Computer Programmers,COMPUTER PROGRAMMER,Y,71947.0,2012.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
2393752,2393753,CERTIFIED,INFOAXE INC.,Computer Programmers,COMPUTER PROGRAMMER,Y,71947.0,2012.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
2804590,2804591,CERTIFIED,INFOAXE INC.,"Computer Software Engineers, Applications",SOFTWARE ENGINEER,Y,98530.0,2011.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
2820322,2820323,CERTIFIED,INFOAXE INC.,Computer Programmers,COMPUTER PROGRAMMER,Y,70907.0,2011.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
