,Unnamed: 0,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
6824,6825,CERTIFIED,"MAPR TECHNOLOGIES, INC.",SALES MANAGERS,TERRITORY SALES DIRECTOR,Y,93434.0,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
8142,8143,CERTIFIED,"MAPR TECHNOLOGIES, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,TECHNICAL MANAGER,Y,154440.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
11485,11486,CERTIFIED,"MAPR TECHNOLOGIES, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR STAFF TECHNICAL ACCOUNT MANAGER,Y,154440.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
262408,262409,CERTIFIED,"MAPR TECHNOLOGIES, INC.",COMPUTER PROGRAMMERS,STAFF PERFORMANCE ENGINEER,Y,114629.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
280820,280821,CERTIFIED,"MAPR TECHNOLOGIES, INC.",COMPUTER PROGRAMMERS,SENIOR STAFF PERFORMANCE ENGINEER,Y,114795.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
292105,292106,CERTIFIED,"MAPR TECHNOLOGIES, INC.","SOFTWARE DEVELOPERS, APPLICATIONS","SR. STAFF ENGINEER, PERFORMANCE QA",Y,142376.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
310004,310005,CERTIFIED,"MAPR TECHNOLOGIES, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE QA ENGINEER,Y,98342.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
321741,321742,CERTIFIED,"MAPR TECHNOLOGIES, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",DATA ENGINEER,Y,120349.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
324519,324520,CERTIFIED,"MAPR TECHNOLOGIES, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE QA ENGINEER,Y,98342.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
338604,338605,CERTIFIED,"MAPR TECHNOLOGIES, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE ENGINEER,Y,98342.0,2016.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
