name,code,top_employer,count
Montana,MT,MONTANA STATE UNIVERSITY,105
Alaska,AK,UNIVERSITY OF ALASKA,114
Vermont,VT,THE UNIVERSITY OF VERMONT,139
Wyoming,WY,UNIVERSITY OF WYOMING,162
North Dakota,ND,NORTH DAKOTA STATE UNIVERSITY,166
Nevada,NV,"UNIVERSITY OF NEVADA, RENO",222
Mississippi,MS,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,266
South Dakota,SD,TATA CONSULTANCY SERVICES LIMITED,319
West Virginia,WV,WEST VIRGINIA UNIVERSITY,321
Maine,ME,RITE PROS INC,330
New Mexico,NM,"LOS ALAMOS NATIONAL SECURITY, LLC",353
Hawaii,HI,UNIVERSITY OF HAWAII,397
Oklahoma,OK,UNIVERSITY OF OKLAHOMA,408
Nebraska,NE,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,434
District Of Columbia,DC,INFOSYS LIMITED,437
South Carolina,SC,WIPRO LIMITED,440
New Hampshire,NH,INFOSYS LIMITED,695
Kentucky,KY,TATA CONSULTANCY SERVICES LIMITED,803
Idaho,ID,"MICRON TECHNOLOGY, INC.",830
Louisiana,LA,IBM INDIA PRIVATE LIMITED,835
Alabama,AL,THE UNIV. OF ALA. AT BIRMINGHAM (UAB),946
Iowa,IA,THE UNIVERSITY OF IOWA,1098
Tennessee,TN,"SYNECHRON, INC.",1135
Delaware,DE,TATA CONSULTANCY SERVICES LIMITED,1172
Maryland,MD,JOHNS HOPKINS UNIVERSITY,1449
Missouri,MO,INFOSYS LIMITED,1532
Utah,UT,INFOSYS LIMITED,1780
Virginia,VA,"CAPITAL ONE SERVICES, LLC",1805
Colorado,CO,INFOSYS LIMITED,1871
Arkansas,AR,INFOSYS LIMITED,2057
Michigan,MI,UNIVERSITY OF MICHIGAN,2177
Rhode Island,RI,INFOSYS LIMITED,2465
Indiana,IN,CUMMINS INC.,2682
Kansas,KS,INFOSYS LIMITED,2994
Massachusetts,MA,WIPRO LIMITED,3286
Wisconsin,WI,INFOSYS LIMITED,3577
Minnesota,MN,TATA CONSULTANCY SERVICES LIMITED,3801
Oregon,OR,INTEL CORPORATION,4018
Florida,FL,INFOSYS LIMITED,4043
Ohio,OH,TATA CONSULTANCY SERVICES LIMITED,4060
Connecticut,CT,INFOSYS LIMITED,4556
Georgia,GA,INFOSYS LIMITED,4686
New York,NY,INFOSYS LIMITED,4934
Arizona,AZ,INFOSYS LIMITED,5641
New Jersey,NJ,INFOSYS LIMITED,6444
Pennsylvania,PA,DELOITTE CONSULTING LLP,7764
North Carolina,NC,INFOSYS LIMITED,8770
Illinois,IL,INFOSYS LIMITED,8975
Texas,TX,INFOSYS LIMITED,13741
Washington,WA,MICROSOFT CORPORATION,19370
California,CA,INFOSYS LIMITED,23597
